[13-Nov-2014 11:02:20 Europe/London] PHP Fatal error:  Class 'Acme\DemoBundle\AcmeDemoBundle' not found in /www/lnlsymfony/app/AppKernel.php on line 22
[13-Nov-2014 11:02:49 Europe/London] PHP Fatal error:  Class 'Acme\Bundle\lnlBundle' not found in /www/lnlsymfony/app/AppKernel.php on line 22
[13-Nov-2014 11:07:28 Europe/London] PHP Fatal error:  Class 'lnl\Bundle\lnlBundle' not found in /www/lnlsymfony/app/AppKernel.php on line 22
[13-Nov-2014 11:38:25 Europe/London] PHP Fatal error:  Class 'lnl\lnlBundle\Controller\Controller' not found in /www/lnlsymfony/src/lnl/lnlBundle/Controller/CategoryController.php on line 8
[13-Nov-2014 11:39:00 Europe/London] PHP Fatal error:  Call to a member function addResource() on a non-object in /www/lnlsymfony/vendor/symfony/symfony/src/Symfony/Component/Routing/Loader/PhpFileLoader.php on line 48
[13-Nov-2014 11:39:31 Europe/London] PHP Fatal error:  Call to a member function addResource() on a non-object in /www/lnlsymfony/vendor/symfony/symfony/src/Symfony/Component/Routing/Loader/PhpFileLoader.php on line 48
[13-Nov-2014 11:41:04 Europe/London] PHP Fatal error:  Call to a member function addResource() on a non-object in /www/lnlsymfony/vendor/symfony/symfony/src/Symfony/Component/Routing/Loader/PhpFileLoader.php on line 48
[13-Nov-2014 11:41:55 Europe/London] PHP Fatal error:  Call to a member function addResource() on a non-object in /www/lnlsymfony/vendor/symfony/symfony/src/Symfony/Component/Routing/Loader/PhpFileLoader.php on line 48
[13-Nov-2014 11:41:58 Europe/London] PHP Fatal error:  Call to a member function addResource() on a non-object in /www/lnlsymfony/vendor/symfony/symfony/src/Symfony/Component/Routing/Loader/PhpFileLoader.php on line 48
[13-Nov-2014 11:42:40 Europe/London] PHP Fatal error:  Call to a member function addResource() on a non-object in /www/lnlsymfony/vendor/symfony/symfony/src/Symfony/Component/Routing/Loader/PhpFileLoader.php on line 48
[13-Nov-2014 11:42:42 Europe/London] PHP Fatal error:  Call to a member function addResource() on a non-object in /www/lnlsymfony/vendor/symfony/symfony/src/Symfony/Component/Routing/Loader/PhpFileLoader.php on line 48
